Publisher,Game Count,Percentage
Square Enix,35,4.26%
Electronic Arts,34,4.14%
Ubisoft,33,4.02%
Bethesda Softworks,31,3.78%
SEGA,24,2.92%
Xbox Game Studios,16,1.95%
Valve,19,2.31%
Unknown,18,2.19%
"CAPCOM Co., Ltd.",18,2.19%
Rockstar Games,12,1.46%
Deep Silver,12,1.46%
Capcom,8,0.97%
BANDAI NAMCO Entertainment,8,0.97%
Warner Bros. Games,7,0.85%
Eidos Interactive Corp.,7,0.85%
EroticGamesClub,7,0.85%
PlayWay S.A.,6,0.73%
Activision,6,0.73%
CD PROJEKT RED,6,0.73%
Focus Entertainment,5,0.61%
XSEED Games,5,0.61%
BANDAI NAMCO Entertainment Europe,5,0.61%
tinyBuild,5,0.61%
Euphoric Brothers,5,0.61%
Crystal Dynamics,14,1.71%
2K,14,1.71%
Bethesda,1,0.12%
id Software,3,0.37%
Strategy First,3,0.37%
Shiver Games,3,0.37%
Landfall,3,0.37%
Running With Scissors,3,0.37%
Movie Games S.A.,3,0.37%
PID Games,3,0.37%
DuaWolf Studio,3,0.37%
Unknown Worlds Entertainment,1,0.12%
FOZ,1,0.12%
Vladimir Cholokyan,1,0.12%
Lewdlab,1,0.12%
Games Incubator,2,0.24%
Rayll,1,0.12%
Techland,1,0.12%
Crows Crows Crows,1,0.12%
Mob Entertainment,1,0.12%
R.J. Rhodes,1,0.12%
Maximum Entertainment,1,0.12%
Dani,1,0.12%
L7team,2,0.24%
Momentum Games,1,0.12%
Joy Way,1,0.12%
Paliverse,1,0.12%
Hitcents,1,0.12%
Dovetail Games,1,0.12%
Dovetail Games - Fishing,1,0.12%
Team SNEED,1,0.12%
ViM Studios,1,0.12%
Amazon Games,1,0.12%
Secret Mode,1,0.12%
 505 Games,1,0.12%
MarcialART,1,0.12%
BanzaiProject,2,0.24%
Lesson of Passion,1,0.12%
Subcreation Studio,1,0.12%
NVIDIA,1,0.12%
2K Games,1,0.12%
Studio Wildcard,2,0.24%
Studio MDHR Entertainment Inc.,1,0.12%
Tasty Pics Studio,1,0.12%
SinVR,2,0.24%
Microsoft Corporation,1,0.12%
Vetron,1,0.12%
IndieGala,1,0.12%
WB Games,4,0.49%
Vovoid Media Technologies AB,1,0.12%
UL Solutions,1,0.12%
Mediator Software,1,0.12%
THS,1,0.12%
OVRAS Team,1,0.12%
Shiro Games,1,0.12%
My Way Games,1,0.12%
Dr PinkCake,2,0.24%
Pillow Castle,1,0.12%
Totem Entertainment,1,0.12%
Kepler Interactive,1,0.12%
Daedalic Entertainment,1,0.12%
Abama Entertainment,1,0.12%
Akupara Games,1,0.12%
Bloober Team NA,1,0.12%
Free Reign Entertainment,1,0.12%
Techland Publishing,1,0.12%
Whitethorn Games,2,0.24%
Agafonoff,1,0.12%
VOID Interactive,1,0.12%
RocketWerkz,1,0.12%
DRAGO entertainment,1,0.12%
Bungie,1,0.12%
Xiexe,1,0.12%
MOBITECH LLC,1,0.12%
Topgolf Media,1,0.12%
Nexon America Inc.,1,0.12%
Union Onion,1,0.12%
Please Be Patient,1,0.12%
Wonder Games,1,0.12%
Bohemia Interactive,1,0.12%
Raw Fury,1,0.12%
RewindApp,1,0.12%
Twerk Games®,1,0.12%
Matt Newell,2,0.24%
EMIKA_GAMES,1,0.12%
Milestone S.r.l.,1,0.12%
OppaiMan 2D ,1,0.12%
Betagames Group,1,0.12%
Duality Games,1,0.12%
Bloober Team SA,1,0.12%
indie.io,1,0.12%
Bitbeast Games,1,0.12%
Chilla's Art,1,0.12%
DenchiSoft,1,0.12%
Newnight ,1,0.12%
Jagex Ltd,2,0.24%
WanadevStudio,1,0.12%
OppaiMan,1,0.12%
ViNovella Games,3,0.37%
Late Night Games,1,0.12%
Lightning Games,1,0.12%
Live3D,1,0.12%
